PRODUCT_CATEGORY,REVENUE,STORE_LOCATION,TRANSACTION_DATE,TRANSACTION_TIME,YEAR,MONTH,MONTH_NAME,DAY_OF_MONTH,DAY_NAME,TIME_BUCKET
Coffee beans,360,Hell's Kitchen,2023-06-17,55:47.0,2023,6,Jun,17,Sat,01. Morning
Coffee beans,360,Hell's Kitchen,2023-06-17,18:31.0,2023,6,Jun,17,Sat,01. Morning
Coffee beans,360,Hell's Kitchen,2023-01-17,55:47.0,2023,1,Jan,17,Tue,01. Morning
Coffee beans,360,Hell's Kitchen,2023-05-17,05:20.0,2023,5,May,17,Wed,01. Morning
Coffee beans,360,Hell's Kitchen,2023-01-17,05:20.0,2023,1,Jan,17,Tue,01. Morning
Coffee beans,360,Hell's Kitchen,2023-05-17,18:31.0,2023,5,May,17,Wed,01. Morning
Coffee beans,360,Hell's Kitchen,2023-06-30,18:31.0,2023,6,Jun,30,Fri,01. Morning
Coffee beans,360,Hell's Kitchen,2023-04-17,18:31.0,2023,4,Apr,17,Mon,01. Morning
Coffee beans,360,Hell's Kitchen,2023-04-17,55:47.0,2023,4,Apr,17,Mon,01. Morning
Coffee beans,360,Hell's Kitchen,2023-06-17,41:11.0,2023,6,Jun,17,Sat,01. Morning
Branded,72,Lower Manhattan,2023-03-09,04:04.0,2023,3,Mar,9,Thu,01. Morning
Branded,72,Lower Manhattan,2023-04-09,04:04.0,2023,4,Apr,9,Sun,01. Morning
Branded,72,Lower Manhattan,2023-06-09,04:04.0,2023,6,Jun,9,Fri,01. Morning
Branded,56,Lower Manhattan,2023-06-09,49:26.0,2023,6,Jun,9,Fri,01. Morning
Branded,56,Lower Manhattan,2023-01-30,49:26.0,2023,1,Jan,30,Mon,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-21,03:04.0,2023,6,Jun,21,Wed,02. Afternoon
Coffee beans,45,Astoria,2023-01-18,51:15.0,2023,1,Jan,18,Wed,01. Morning
Coffee beans,45,Astoria,2023-06-08,29:59.0,2023,6,Jun,8,Thu,01. Morning
Coffee beans,45,Astoria,2023-04-20,34:02.0,2023,4,Apr,20,Thu,03. Evening
Coffee beans,45,Astoria,2023-05-19,58:02.0,2023,5,May,19,Fri,01. Morning
Coffee beans,45,Lower Manhattan,2023-03-18,48:23.0,2023,3,Mar,18,Sat,01. Morning
Coffee beans,45,Astoria,2023-04-20,56:39.0,2023,4,Apr,20,Thu,03. Evening
Coffee beans,45,Lower Manhattan,2023-04-12,16:12.0,2023,4,Apr,12,Wed,02. Afternoon
Coffee beans,45,Hell's Kitchen,2023-04-14,30:08.0,2023,4,Apr,14,Fri,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-14,30:08.0,2023,5,May,14,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-21,52:55.0,2023,5,May,21,Sun,04. Night
Coffee beans,45,Hell's Kitchen,2023-06-23,23:14.0,2023,6,Jun,23,Fri,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-23,04:38.0,2023,6,Jun,23,Fri,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-14,53:04.0,2023,6,Jun,14,Wed,01. Morning
Coffee beans,45,Lower Manhattan,2023-04-12,21:25.0,2023,4,Apr,12,Wed,01. Morning
Coffee beans,45,Hell's Kitchen,2023-01-31,53:04.0,2023,1,Jan,31,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-04-13,51:56.0,2023,4,Apr,13,Thu,01. Morning
Coffee beans,45,Lower Manhattan,2023-06-16,17:13.0,2023,6,Jun,16,Fri,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-12,05:01.0,2023,6,Jun,12,Mon,01. Morning
Coffee beans,45,Lower Manhattan,2023-02-27,12:41.0,2023,2,Feb,27,Mon,02. Afternoon
Coffee beans,45,Astoria,2023-04-09,04:39.0,2023,4,Apr,9,Sun,02. Afternoon
Coffee beans,45,Hell's Kitchen,2023-06-14,30:08.0,2023,6,Jun,14,Wed,01. Morning
Coffee beans,45,Lower Manhattan,2023-02-22,20:52.0,2023,2,Feb,22,Wed,01. Morning
